,Unnamed: 0,img_path,sentence,label,anger,disgust,fear,joy,neutral,sadness,surprise,cluster
211,211,00001469.png,"Calm, Contemplative Reverence in Peace, Quiet and Harmony With the World",joy,0.0040266080759465,0.0154905589297413,0.0059420512989163,0.6802182793617249,0.2019755095243454,0.0885262116789817,0.0038206996396183,1
219,219,00001467.png,Aerial drone view of tourists having fun on the sea. Water sports.,joy,0.003776432480663,0.0200605224817991,0.0018823080463334,0.9461398124694824,0.023033607751131,0.0027891949284821,0.0023181275464594,1
224,224,00001496.png,Asian Comma Butterfly (Polygonia c-aureum),neutral,0.0060573164373636,0.0087355794385075,0.0034115030430257,0.0164562072604894,0.924812376499176,0.0112696150317788,0.029257409274578,1
225,225,00001418.png,"High Falls State Park, Georgia",neutral,0.0351256616413593,0.0194217748939991,0.0131506454199552,0.0204413905739784,0.7900918126106262,0.0707573220133781,0.0510113202035427,1
229,229,00001470.png,Young caucasian woman in sunglasses and swimsuit relaxes in water of salt lake. Drone is hovering above. Aerial vertical shot,neutral,0.0056806881912052,0.0349162109196186,0.0081084202975034,0.143423706293106,0.7811431288719177,0.0129112778231501,0.0138165056705474,1
232,232,00001886.png,Calm river water,neutral,0.0813885331153869,0.1029669120907783,0.089702308177948,0.0106219528242945,0.506420373916626,0.1708354949951172,0.0380643829703331,1
235,235,00001145.png,"1/16/16 - Santa Fe, New Mexico: German Shepherd dog looking at snow falling,Santa Fe,NM",surprise,0.0067896679975092,0.0012036059051752,0.009563404135406,0.0744705572724342,0.352518230676651,0.0626550465822219,0.4927995204925537,1
237,237,00000874.png,"The fish jumps in the air against the background of the forest, Askania-Nova",fear,0.0639897808432579,0.0554619915783405,0.736935019493103,0.0059875547885894,0.0646438002586364,0.0101069100201129,0.062874935567379,1
242,242,00001831.png,Ripe agricultural wheat crops field,neutral,0.2097531706094741,0.1504392176866531,0.0128267630934715,0.0262378212064504,0.5225743055343628,0.0486190319061279,0.0295497365295887,1
245,245,00000200.png,Soft wave with the blue ocean on a sandy beach. Holiday time vacation.	,joy,0.0012842660071328,0.0011472362093627,0.0011903509730473,0.934921145439148,0.0374288819730281,0.0070478497073054,0.0169802326709032,1
247,247,00001347.png,Fish eye view of large schools of tropical reef fish in clear blue water over a deep reef.,disgust,0.0192609708756208,0.7218778729438782,0.1215821951627731,0.0117727573961019,0.0876774340867996,0.0158927906304597,0.0219359491020441,1
254,254,00000626.png,"time-lapse of rain storm as huge clouds roll by & vast rain falls on the ocean; railing view of 14th story condo nearly wave-less beach in gulf; grand view of ocean, beach, main road",surprise,0.0218661315739154,0.0008224542834796,0.0465116798877716,0.090725727379322,0.0405987612903118,0.026644080877304,0.7728311419487,1
255,255,00000049.png,orangutan,neutral,0.0186818037182092,0.0164764113724231,0.0132646327838301,0.0096944468095898,0.8300455212593079,0.0720050558447837,0.0398320704698562,1
257,257,00000019.png,"Spring pasture with puddles from melted snow, the ground is saturated with water.",disgust,0.0216531697660684,0.8030833005905151,0.0177605934441089,0.0026128713507205,0.0737680867314338,0.0755876153707504,0.0055343476124107,1
261,261,00001712.png,cute giraffe animal character animation 4k video animated,joy,0.0038815555162727,0.0029322945047169,0.0007850403198972,0.9063913226127625,0.0676662251353263,0.0027583327610045,0.0155852288007736,1
262,262,00001562.png,Pan shot beach and tree in summer time,neutral,0.0257620904594659,0.0045312433503568,0.0071786874905228,0.2282689064741134,0.460685133934021,0.0663449838757515,0.2072289288043975,1
268,268,00000875.png,Timelapse of stormy clouds in blue sky,neutral,0.0589755065739154,0.0162461791187524,0.0724645927548408,0.0218375027179718,0.5736052393913269,0.0466283038258552,0.2102427035570144,1
270,270,00000369.png,Small river flowing through the forest. Beautiful natural landscape. Tranquil scenery,joy,0.001848645042628,0.0068333144299685,0.0048584667965769,0.9015783071517944,0.0689744427800178,0.0094259139150381,0.0064809154719114,1
271,271,00001920.png,Time-Lapse of Flock of chickens. Red and black hens. Brown feathered domestic birds that lays eggs. Rural life on a farm in village,neutral,0.0207611415535211,0.1234038174152374,0.0082665346562862,0.0305090621113777,0.7797601819038391,0.0119814109057188,0.0253179017454385,1
278,278,00001789.png,Senior woman climbs over the piled stones of red marble in the mountains.,disgust,0.0286515615880489,0.9571889638900756,0.005744828376919,0.0003686037671286,0.0040374500676989,0.0028634241316467,0.0011453774059191,1
282,282,00001411.png,White bubbles on the side of the rocks in Tenerife Spain with the waves kissing the rocks on the cliff,neutral,0.0778855308890342,0.3874228894710541,0.0387267470359802,0.0150079652667045,0.4162024855613708,0.037688735872507,0.0270656421780586,1
286,286,00000537.png,"Car POV on windmills farm in slow motion 180fps
",neutral,0.0204721689224243,0.0065370062366127,0.0115142250433564,0.0099510047584772,0.808714747428894,0.0152780702337622,0.1275327056646347,1
291,291,00000642.png,Grass shadow on a light brown wall. Silhouette of flowers in front of a window in sunny weather. 4K.,neutral,0.004313466604799,0.1069701462984085,0.0034564398229122,0.023561742156744,0.7863336801528931,0.0613483674824237,0.0140162473544478,1
292,292,00000895.png,Beautiful Sunset at British Countryside. High Angle view and Aerial footage ,joy,0.0219535622745752,0.0075026848353445,0.1996936202049255,0.6657357811927795,0.072979986667633,0.0172460973262786,0.0148882055655121,1
294,294,00001152.png,Tobacco farm in Thailand,disgust,0.0935868993401527,0.3661185503005981,0.0490824021399021,0.0274825803935527,0.3453978598117828,0.0769723951816558,0.0413592867553234,1
305,305,00001485.png,"Aerial Drone View over some butterfly fishermen at Patzcuaro Lake near Janitzio Island, Michoacan, Mexico",neutral,0.0394866280257701,0.0360978730022907,0.3792808353900909,0.0279472228139638,0.4100073575973511,0.0166288074105978,0.0905513018369674,1
308,308,00000976.png,beautiful white lilies floating on a water,joy,0.0026907247956842,0.0063071842305362,0.0010077899787575,0.9507524967193604,0.0283870883285999,0.0054566329345107,0.0053979726508259,1
309,309,00001813.png,Fish swim past a little. blue and white motorboat. tied to a wooden pier in tropical waters of the Maldives.,fear,0.0212765131145715,0.0338212065398693,0.7578113675117493,0.0262960735708475,0.0836898162961006,0.0238726343959569,0.053232368081808,1
312,312,00000484.png,Dynamic slide along the field. Wheat golden field. A beautiful golden field,joy,0.0023322268389165,0.0016255248337984,0.0008120674174278,0.9191396236419678,0.0490169934928417,0.0036297419574111,0.0234438031911849,1
318,318,00000124.png,"The Eastern Green Lizard is the largest lizard in Europe, Plitvice, Croatia, April 2015, 4K, Raw, ",neutral,0.0202432312071323,0.0440692454576492,0.0201294049620628,0.0059702987782657,0.890627920627594,0.006542267743498,0.0124176768586039,1
325,325,00001106.png,Two six year old spanish bulls under the snow on a snowdrift.,neutral,0.0519352406263351,0.1892504692077636,0.2480166852474212,0.0532467998564243,0.2835478186607361,0.1436519920825958,0.0303510054945945,1
326,326,00001368.png,"Crystal Clear Mountain Lake Reflection of Overhead Clouds Time Lapse, Timelapse, Time-Lapse, 4K",neutral,0.0134534314274787,0.0126873096451163,0.0141005190089344,0.0097384648397564,0.7486698031425476,0.0228079967200756,0.1785425245761871,1
329,329,00001148.png,"Wonderful closeup shot of a beautiful wheat crop stem swaying along with the wind, bright skies in the background.",joy,0.002201366238296,0.0018096085404977,0.0056731947697699,0.8952750563621521,0.0284863337874412,0.0059066540561616,0.0606477707624435,1
335,335,00001602.png,Sweet-toothed fish. Exciting diving off Mafia Island. Tanzania. Africa.,neutral,0.0092433635145425,0.0521456003189086,0.0180352348834276,0.2327061295509338,0.6612110733985901,0.0086767179891467,0.0179818533360958,1
336,336,00001669.png,"Young surfers ride the waves in Indian ocean during sunset, exotic Bali, Indonesia. View from afar. Full HD 1920x1080, 50 fps. View from the mountain.",neutral,0.0104798395186662,0.0063965790905058,0.0188818704336881,0.0804131627082824,0.822276771068573,0.0125595843419432,0.0489921644330024,1
337,337,00000782.png,Altai mountains. Beautiful highland landscape. Russia. Siberia. Flight on quadcopter. Top view,neutral,0.0245779454708099,0.0127690089866518,0.0419241413474082,0.2148476243019104,0.5734129548072815,0.0185334365814924,0.1139348894357681,1
340,340,00001088.png,Baby clown fish in the conservation center to raise up in the tank.,disgust,0.0043651913292706,0.9593832492828368,0.0176313947886228,0.0031860126182436,0.0119239101186394,0.002110764849931,0.0013994344044476,1
355,355,00000155.png,"
white swan with an orange beak stands on the bank of the Vltava river",neutral,0.0268773697316646,0.0883931964635849,0.0445109829306602,0.0268164649605751,0.7439714670181274,0.0225486680865287,0.0468819178640842,1
356,356,00000725.png,"Shooting from a drone with a view of the winding canyon of the Dniester River. Cinematic aerial shot. Location place Dnister, Ukraine, Europe. Discover the beauty of earth. Filmed in 4k, drone video.",joy,0.0115648629143834,0.0162973534315824,0.1688093394041061,0.3540603518486023,0.27581787109375,0.0293863695114851,0.1440638303756714,1
360,360,00000892.png,Panorama Of Sunset Sky Over Dune Of Pilat In France. pan right,neutral,0.0179022625088691,0.0051920334808528,0.0258777476847171,0.0627645552158355,0.5872744917869568,0.0579454414546489,0.2430434077978134,1
361,361,00000934.png,Puppies of the Alabai breed,disgust,0.041454579681158,0.4700330793857574,0.0031003828626126,0.1779192984104156,0.2807555794715881,0.0160622801631689,0.0106747020035982,1
363,363,00001464.png,Skiers skiing on slopes in the ski center Popova Shapka in North Macedonia. Sunny day over ski piste with many ski tracks in the snow.,joy,0.0070170117542147,0.0057464553974568,0.0181871522217988,0.6645445823669434,0.1208664625883102,0.0810708403587341,0.1025674119591713,1
365,365,00000340.png,Flight sideways at high speed above spring Lake Baikal at orange sunset. Huge ice floes covered with snow are floating. Russia best nature landscape. Clouds reflected in water. Beautiful scenery. 4k,joy,0.0252743512392044,0.00334889953956,0.0616060234606266,0.3142626881599426,0.3093560934066772,0.0470730476081371,0.2390789687633514,1
367,367,00000483.png,Aerial view of the coast of a tropical island,fear,0.0337557606399059,0.0339323244988918,0.704918622970581,0.0416311919689178,0.0995142012834549,0.0178737062960863,0.0683740451931953,1
371,371,00001853.png,"Sunbeams, reflections on the water. Shot in 4K (ultra-high definition (UHD)), so you can easily crop, rotate and zoom, without losing quality! Real time.",neutral,0.0182706844061613,0.0112418308854103,0.0031665507704019,0.0246261097490787,0.8566640019416809,0.0085842553526163,0.0774464383721351,1
372,372,00000771.png,A condor (Vultur gryphus) flies in the Colca Canyon in Arequipa. Peru.,disgust,0.0302959736436605,0.6720622777938843,0.0122459409758448,0.0082827666774392,0.2608835995197296,0.0052988403476774,0.0109304888173937,1
387,387,00000098.png,single small monkey sits on large high rock against distant mountain silhouettes and valley under sunset light,fear,0.0800111293792724,0.0385139025747776,0.3731197714805603,0.0087437378242611,0.3025949001312256,0.1622898280620575,0.0347266867756843,1
391,391,00001399.png,"Rain drops into green leaf, Slow motion",neutral,0.0191612131893634,0.0144784655421972,0.0126436650753021,0.0061609777621924,0.8591827154159546,0.0200388003140687,0.0683342218399047,1
405,405,00000982.png,"Evening thick fog over the lake, in the water of which a woman and a child are reflected walking along the shore at dusk after sunset",fear,0.0118925580754876,0.1238363236188888,0.8073797225952148,0.0042537557892501,0.0117805739864707,0.0309663321822881,0.0098907789215445,1
409,409,00000298.png,Female Common Darter on Leaf,neutral,0.0652600675821304,0.2760631144046783,0.0326849669218063,0.0082480339333415,0.5327790379524231,0.0359215140342712,0.0490432307124137,1
411,411,00000323.png,"Astrophotography time lapse footage of milky way galaxy rising over the oldest living trees at dawn in Ancient Bristlecone Pine Forest in White Mountain, California -Close Up-",neutral,0.0444532185792923,0.016386417672038,0.2847230136394501,0.0275667421519756,0.406491070985794,0.0422167144715786,0.1781627088785171,1
413,413,00000883.png,Yellow and white flowers,neutral,0.2135080844163894,0.1545484364032745,0.0042482558637857,0.0116101168096065,0.5268849730491638,0.0598410069942474,0.029359171167016,1
417,417,00001304.png,Aerial view of drone. Scene of Top view beach sand and sea water clear. Sea water texture on beach sand.,disgust,0.0671829208731651,0.4679169356822967,0.1546920537948608,0.0075503885746002,0.217141181230545,0.0496290549635887,0.035887461155653,1
423,423,00001160.png,Rocky coastline of deepest freshwater lake Baikal and mountain landscape on background of clear water create an atmosphere of peace quiet for exotic ecotourism in wildlife Siberia in Russia.,neutral,0.0153271835297346,0.0174234267324209,0.0950034707784652,0.307086318731308,0.5072504281997681,0.0413049645721912,0.0166042130440473,1
425,425,00001212.png,"Nakhon Pathom,Thailand - March 21, 2016: Farmer is harvesting waterlily (lotus) during sunset in Nakhon Pathom, Thailand",neutral,0.0851549357175827,0.132780060172081,0.068907618522644,0.1442507803440094,0.4187175035476684,0.0872775167226791,0.0629115477204322,1
430,430,00000273.png,Wild boar herd in the field at the futtersearch,fear,0.085596352815628,0.0324261747300624,0.6907389760017395,0.0116498796269297,0.1332143545150756,0.0117137599736452,0.0346605405211448,1
431,431,00000018.png,angry eyes of speed racing pigeon bird,anger,0.85032057762146,0.003925141878426,0.0006663639796897,0.0934594795107841,0.0220568664371967,0.0104786492884159,0.0190930552780628,1
441,441,00000495.png,Giraffe zoom out and track 1080p,neutral,0.0034490099642425,0.0012408380862325,0.0019264488946646,0.0119443060830235,0.9090558886528016,0.0045437472872436,0.0678397566080093,1
450,450,00000414.png,Flying over Spring blackthorn blossom in England. Sunshine,neutral,0.0091385832056403,0.0043482114560902,0.0049097016453742,0.1638565808534622,0.7067779898643494,0.0459238365292549,0.0650450512766838,1
453,453,00000550.png,Cascade on small mountain stream. Clear crystal water is running over basalt boulders.,neutral,0.1289266794919967,0.1740270853042602,0.2061786353588104,0.014241243712604,0.3287012577056885,0.0692906752228736,0.07863450050354,1
454,454,00001481.png,Dog sniffing the ground carpet,disgust,0.0067805140279233,0.940144419670105,0.0127866202965378,0.0011788764968514,0.0259068738669157,0.0101356664672493,0.0030669865664094,1
457,457,00001482.png,Yellow bamboos with dry leaves in the garden.,disgust,0.0433769933879375,0.8229912519454956,0.0045195892453193,0.0061453506350517,0.0976356267929077,0.0181767214089632,0.0071545513346791,1
463,463,00000395.png,River in the mountains of Georgia flowing between the rocks along the gorge,fear,0.0961207300424575,0.127515360713005,0.3441596329212188,0.0105648469179868,0.2628508806228637,0.1116865947842598,0.0471020638942718,1
473,473,00000261.png,"Flock of Sheep grazing under Olive trees, Top down view",neutral,0.1135266795754432,0.1752964109182357,0.0536437593400478,0.0170071329921484,0.6000884175300598,0.015536936931312,0.024900734424591,1
482,482,00001600.png,Arty Man Looks Raises River Water in Handfuls. it Falls Down in Streams at Sunset,neutral,0.010682288557291,0.0021641415078192,0.0095984805375337,0.0482008978724479,0.6924579739570618,0.108191542327404,0.1287047266960144,1
485,485,00001360.png,Winter forest. It's snowing. The fisherman slowly goes along the river,neutral,0.0482250079512596,0.0953486263751983,0.2573141157627105,0.0047974959015846,0.4493607878684997,0.0912937298417091,0.0536602064967155,1
486,486,00000947.png,"Red firethorn (also known as scarlet firethorn, Latin: Pyracantha coccinea) ornamental shrub in front of the window of a Hungarian village house. Rural environment, brown window with orange berries.",disgust,0.0252581294625997,0.7702562808990479,0.008894252590835,0.0427311509847641,0.1305673569440841,0.010904150083661,0.0113886874169111,1
487,487,00001879.png,Water Lily,neutral,0.0229993909597396,0.0351419597864151,0.0056531950831413,0.0170637220144271,0.8691903948783875,0.0334296077489852,0.0165216848254203,1
489,489,00001985.png,"Porto Rafti, Athens / Greece - February 10 2019: Aerial drone video of 2 men in a paddle surf board known as Sup surfing in turquoise clear waters",neutral,0.0223028846085071,0.0160071458667516,0.0770074799656868,0.1760780960321426,0.360320895910263,0.0131409130990505,0.3351425528526306,1
490,490,00000573.png,"MAUI, HAWAII. January, 15 2016: Big Wave Surfing at Jaws. Surfer Rides Giant Ocean Waves. ",neutral,0.0295867845416069,0.0071263187564909,0.2387575954198837,0.1278130859136581,0.533413290977478,0.0105291297659277,0.0527738519012928,1
492,492,00001143.png,"three little chickens on the grass,in the spring small chickens run on a grass",surprise,0.1961743235588073,0.0266314521431922,0.0249805226922035,0.0565800666809082,0.270714521408081,0.1181945651769638,0.3067245483398437,1
493,493,00000377.png,Chestnut Green leaves ,neutral,0.1464254558086395,0.1321033835411071,0.1923520267009735,0.0409506745636463,0.3798228502273559,0.0819355919957161,0.0264100320637226,1
496,496,00001471.png,Cattle and pilgrims on the way to the Santiago de Compostela. Camido de Santiago.,fear,0.0273804478347301,0.378384530544281,0.3784120082855224,0.0163850281387567,0.166824609041214,0.0138857346028089,0.018727634102106,1
497,497,00000803.png,crab partan mud flat ,anger,0.3692016303539276,0.1321018040180206,0.3607530891895294,0.0045179240405559,0.0471179001033306,0.0758736208081245,0.0104340361431241,1
500,500,00000627.png,"Wind turbines spin in a flat Dutch landscape on a clear day, Aerial view.",neutral,0.0324144475162029,0.0208753533661365,0.0957797095179557,0.0558327436447143,0.6408023238182068,0.01535917352885,0.13893623650074,1
508,508,00000768.png,Aerial View of Extreme Water Sport in Pangandaran Beach,neutral,0.0212886277586221,0.0156130185350775,0.0284599177539348,0.2926037311553955,0.4798082709312439,0.0198931824415922,0.1423333585262298,1
510,510,00000619.png,Great white shark swims head on towards camera,fear,0.0345911122858524,0.0268131848424673,0.6996655464172363,0.0057769026607275,0.1808233857154846,0.0129368156194686,0.0393930710852146,1
512,512,00000161.png,Grizzly Bear Sow Female Adult Immature Family Foraging Digging in Fall in Wyoming,sadness,0.0047654281370341,0.0299715735018253,0.0114510301500558,0.0036496871616691,0.0701505094766616,0.8727434277534485,0.0072683990001678,1
